hewan,diagnosa,jumlah_hewan_yang_diperiksa,pengobatan
Anjing,Glaucoma,0,"Inj/ Hematopan, R/ Cravit Eye Drop, Hyalub Eye Drop R/Doxy, Retivit, Seloxy"
Anjing,Helminthiasis,0,"Drontal Dog, Drontal Cat, Albendazole"
Anjing,Hernia Abdominalis,0,"Rl Sc, Vetadryl, Hematodin"
Anjing,Hyphocalsemia,0,"Calcidex Plus, Vit Ade"
Anjing,Hydroderma,0,"R/ Furosemide, Heptasan, Seloxy"
Anjing,Heart Failure,0,"Inj / Betamox, Vetadryl"
Anjing,Indigesti,0,"Bethamox, Hematodin, Vetadryl"
Anjing,Inkoordinasi Syaraf,0,"Neurobion, Catosol"
Anjing,Intoksikasi ,0,"Bethamox, Hematodin, Vetadryl, Biodin"
Anjing,Ikterus,0,"Hematodin, Vetadryl, Vit B1"
Anjing,Jamur,0,"Ivermectin,Ketoconazole,Enrofloxacin"
Anjing,Kennel Cough,0,"Betamox, Vetadryl "
Anjing,Konstipasi,0," Betamox, Vetadryl , Hematopan"
Anjing,Kornea ulser,0,"Gentamicin, Tetracicline, Ofloxacin, Vit A"
Anjing,Laminitis,0,"Cefotaxime,Ampicillin,Aminophyllin,Biosolamin, Dexamethason"
Anjing,Luka Trauma,0,"Cefotaxime,Roborante,Dexamethason,Biosolamin, Enrofloxacin"
Anjing,Laringitis,0,"Cefotaxime,Ampicillin,Aminophyllin,Biosolamin, Dexamethason"
Anjing,Malnutrisi,0, Hematodin
Anjing,Mastitis,0,"Lactaclox, Spiradin"
Anjing,Myalgia,0," Betamox, Dexa, Neurobion"
Anjing,Myasis,0,"Betamox, Dexa, Ivomec"
Anjing,Mycoplasmosis,0,"Inj / Vetadryl , Aminophyline , Vetoxy , Hematopan , Biodin R/ Infus Rl Subkutan "
Anjing,Metritis,0,"Vetoxy La, Vetadryl, Hematodin, Sulpidone"
Anjing,Miositis,0,"Dexamethason, Prednisone"
Anjing,Necrotic,0,"Inj/ Cefazidime , Biodin , Dexametasone"
Anjing,Operasi Kecil,0,"Ketamine, Silazin, Bethamox, Hematodin"
Anjing,Operasi Besar,0,"Ketamine, Silazin, Bethamox, Hematodin"
Anjing,ORF,0,"Vetoxy LA, Vetadryl, Introvit B-Comp"
Anjing,Othematoma,0,"Amoxicillin, Dexamethasone, Adona, "
Anjing,Otitis,0,"Doxyciclin,Biosolamin,"
Anjing,Paraplegia,0,Nacl Fisiologis
Anjing,Parvo,1,"Infus Rl Subkutan , Inj / Catosal , Hvetadryl, Betamox "
Anjing,Panleukopenia,0,"Betamox, Vetadryl, Hematopan, Biodin"
Anjing,Pasteurellosis,0,"Inj / Baytril, Vetadryl , Hematopan , Biodin"
Anjing,Pemeriksaan,0,"Hematodin, Vit Ade"
Anjing,Periodontitis,0,"Vit C, Ampicillin, Amoxicillin, Dexamethasone"
Anjing,Pneumonia,0,"Hematopan, Vetedryl, Biodin"
Anjing,Post partus,0,"Bethamox, Hematodin, Vetadryl"
Anjing,Pregnant,0,"Vit Ade, Vit Bcomplex, Biodin"
Anjing,Prolaps anii,0,"Metronidazole, Hematopan, Kaolin Pectin"
Anjing,Prolaps Bulbi,0,"Betamox, Vetadryl, Biodin, Hematopan, Enukleasi"
Anjing,Prolaps Testis,0,"Betamox, Vetadryl, Biodin, Hematopan, Kastrasi"
Anjing,Pullorum,0,"Inj / Hematodin, Biodin, Vetadryl, R/ Baytril, Seloxy Aa, Bio Atp, Imboost"
Anjing,Pyoderma,0,"Cephalexin, Dexamethasone, Vit.C"
Anjing,Pyometra,0," Betamox, Vetadryl, Hematopan Biodin, Operasi Angkat Pyometra"
Anjing,Radang,0,"Bethamox, Hematodin, Vetadryl, Tolfedine"
Anjing,Renal Failure,0,"Biodin, Hematodin"
Anjing,Retensio Sec,0,"Vetoxy La, Vetadryl, Sulpidone, Hematodin"
Anjing,Rhinitis,0,"Septri, Hematopan, Biodin, Vetadryl"
Anjing,Rhinotracheitis,0,"Inj/ Betamox, Tolfedine, Hematodin, Vetadryl, Injektamin"
Anjing,Seizure,0,Castran
Anjing,Sehat,8,"Vaksin, Surat Keterangan Sehat, Operasi"
Anjing,Snot,0,"Enrofloxacin, Biodin"
Anjing,Stres fisiologis,0,"Betamox, Vetadryl, Hematopan , Biodin "
Anjing,Stomatitis,0,"Betamox, Biodin"
Anjing,Scabies,0,"Ivermectin, Biosolamin,Inmunair"
Anjing,Sporotrichosis,0,"Betamox, Vetadryl "
Anjing,Sprain,0,"Vitol Ade, Vetoxy La"
Anjing,Suspek Calisivirus,0,"Bethamox, Hematodin, Vetadryl, Biodin"
Anjing,Suspek FUS,0,"Bethamox, Hematodin, Vetadryl"
Anjing,Suspek Panleucopenia,0,"Bethamox, Hematodin, Vetadryl"
Anjing,Suspek Chlamydiosis,0,"Bethamox, Hematodin, Vetadryl"
Anjing,Suspect FRV,0,"Vitamin B-Comp, Dexametazone/Spiradin, Hematodin"
Anjing,Suspect FHV,0,"Vetoxy LA, Vetadryl"
Anjing,Syaraf Tulang Belakang,0,"Bethamox, Hematodin, Dexamethasone"
Anjing,Tumor,0,"Operasi Angkat Tumor, Betamox, Vitol"
Anjing,Timpany,0,"Trocar, Antibloat"
Anjing,Uveitis,0,"Limoxin , Dexa , Hematopan Biodin"
Anjing,Vaksin Rabies,0,"Cefotaxime,Roborante,Dexamethason,Biosolamin, Enrofloxacin"
Anjing,Vulnus,0,"Cefotaxime,Roborante,Dexamethason,Biosolamin, Enrofloxacin"
Kucing,Abortus,1,"Vetoxy La, Vetadryl, Sulpidone, Hematodin"
Kucing,Abses,14,"Cefotaxime,Dexamethason,Biosolamin,Septo Skin Spray"
Kucing,Acral Lick Dermatitis,0,"Bethamox, Vitol Ade, Vetadryl"
Kucing,Aggenesis Anni,0,Op Pembuatan Anus
Kucing,Alergi,2,"Vetadryl, Vit Ade."
Kucing,Anemia,6,"Hematodin, Vetadryl"
Kucing,Arthritis,0,"Calcidex, Vit Ade, Dexamethazone, Biodin"
Kucing,Avitaminosis,8,"Inj/ Betamox, Vetadryl, Hematodin, Biodin, Curvit"
Kucing,BEF,0,"Vetoxy LA, Vetadryl, Sulpidone, Hematodin"
Kucing,Bronkitis,1,"Cefadroxil, Ambroxol, Dexamethason, Vit C"
Kucing,Calici,2,"Clavamox, Pronisi, Vi. C, Imboost"
Kucing,Check Up,0,Hematodin
Kucing,Chlamydia,18,"Dexamethason, Chloramphenicol Salep Mata"
Kucing,Chlongiohepatitis,3,"Betamox, Vetadryl, Hematopan , Biodin "
Kucing,CKD,3,"Ketosteril, Lenal Ace, Ornipural"
Kucing,Conjunctivitis,29,"Dexamethason, Chloramphenicol Salep Mata"
Kucing,Dehidrasi,2,"Hematodin, Cairan RL"
Kucing,Demam Non Spesifik,27,"Bethamox, Hematodin, Sulpidone"
Kucing,Demodecosisi,0," Ivomec, Vetadryl"
Kucing,Dermatitis,3,"Ivermectin,Lincomycin,Prednisone,Biosolamin,Inmunair"
Kucing,Dermatophytosis,50,"Sebazole, Chlorhexidine, Vetadryl"
Kucing,Diarrhea,0,"Bethamox, Vetadryl, Biodin, Hematodin"
Kucing,Dislokasi,0,"Bethamox, Hematodin, Dexamethazone"
Kucing,Distokia,4,"Ketamin, Lidocaine, Dexamethasone, Vit B1 , Caesar"
Kucing,DIPHYLIDIASIS,0,"Inj / Betamox, Vetadryl, Hematopan R/ Drontal Cat"
Kucing,Ear mites,15,"Ivermectin, Roborante, Erlamicetin Tetes Telinga"
Kucing,Ektoparasitosis,2,"Ivermectin, Roborante"
Kucing,Endoparasit,6,"Doxycycline, Clindamycin, Ivermectine, Selamectine"
Kucing,Enteritis,86,"Biosolamin,Loperamide,Flagyl,Inmunair"
Kucing,EGC,1,"Doxycycline,Dexa, Catosal"
Kucing,Endophtalmitis,0,"Inj/ Betamox, Tolfedine , Hematopan , Biodin "
Kucing,Endometritis,0,"Doxyciclin,Dexamethason, Biosolamin"
Kucing,Febris,0,"Vit. B Complek, Stimuno"
Kucing,FCV,0,"Inj / Vetadryl , Aminophyline , Vetoxy , Hematopan , Biodin R/ Infus Rl Subkutan "
Kucing,FHV / FRV,5,"Vitamin C , Vetadryl, Hematopan, Biodin"
Kucing,FIC,0,Flunixin
Kucing,FIP,4,"Doxycycline, Curcuma, B Complek"
Kucing,FLUTD,15,"Pasang Cateter,Ampicillin,Aminophyllin,Biosolamin,"
Kucing,Flu,185,"Cefotaxime,Ampicillin,Aminophyllin,Biosolamin,Fluimucil"
Kucing,Fraktur,12,"Operasi Pasang Pen, Bandage, Meloxicam"
Kucing,FUC,0,"Betamox, Tolfedin , Hematopan , Biodin"
Kucing,Gangguan Syaraf Tulang Belakang,2,"Bethamox, Vitamin B1, Dexametazone, Hematodin"
Kucing,Gastritis,15,"Primperan,Biosolamin,Prednisone,Cefotaxime"
Kucing,Gastroenteritis,4,"Primperan,Biosolamin,Flagyl,Loperamide,Mylanta"
Kucing,Ginggivitis,12,"Betamox, Vetadryl"
Kucing,Glaucoma,0,"Inj/ Hematopan, R/ Cravit Eye Drop, Hyalub Eye Drop R/Doxy, Retivit, Seloxy"
Kucing,Helminthiasis,17,"Drontal Dog, Drontal Cat, Albendazole"
Kucing,Hernia Abdominalis,10,"Rl Sc, Vetadryl, Hematodin"
Kucing,Hyphocalsemia,0,"Calcidex Plus, Vit Ade"
Kucing,Hydroderma,0,"R/ Furosemide, Heptasan, Seloxy"
Kucing,Heart Failure,0,"Inj / Betamox, Vetadryl"
Kucing,Indigesti,2,"Bethamox, Hematodin, Vetadryl"
Kucing,Inkoordinasi Syaraf,4,"Neurobion, Catosol"
Kucing,Intoksikasi ,1,"Bethamox, Hematodin, Vetadryl, Biodin"
Kucing,Ikterus,2,"Hematodin, Vetadryl, Vit B1"
Kucing,Jamur,0,"Ivermectin,Ketoconazole,Enrofloxacin"
Kucing,Kennel Cough,0,"Betamox, Vetadryl "
Kucing,Konstipasi,2," Betamox, Vetadryl , Hematopan"
Kucing,Kornea ulser,0,"Gentamicin, Tetracicline, Ofloxacin, Vit A"
Kucing,Laminitis,0,"Cefotaxime,Ampicillin,Aminophyllin,Biosolamin, Dexamethason"
Kucing,Luka Trauma,4,"Cefotaxime,Roborante,Dexamethason,Biosolamin, Enrofloxacin"
Kucing,Laringitis,0,"Cefotaxime,Ampicillin,Aminophyllin,Biosolamin, Dexamethason"
Kucing,Malnutrisi,6, Hematodin
Kucing,Mastitis,1,"Lactaclox, Spiradin"
Kucing,Myalgia,0," Betamox, Dexa, Neurobion"
Kucing,Myasis,0,"Betamox, Dexa, Ivomec"
Kucing,Mycoplasmosis,0,"Inj / Vetadryl , Aminophyline , Vetoxy , Hematopan , Biodin R/ Infus Rl Subkutan "
Kucing,Metritis,0,"Vetoxy La, Vetadryl, Hematodin, Sulpidone"
Kucing,Miositis,0,"Dexamethason, Prednisone"
Kucing,Necrotic,0,"Inj/ Cefazidime , Biodin , Dexametasone"
Kucing,Operasi Kecil,1,"Ketamine, Silazin, Bethamox, Hematodin"
Kucing,Operasi Besar,3,"Ketamine, Silazin, Bethamox, Hematodin"
Kucing,ORF,0,"Vetoxy LA, Vetadryl, Introvit B-Comp"
Kucing,Othematoma,3,"Amoxicillin, Dexamethasone, Adona, "
Kucing,Otitis,11,"Doxyciclin,Biosolamin,"
Kucing,Paraplegia,3,Nacl Fisiologis
Kucing,Parvo,0,"Infus Rl Subkutan , Inj / Catosal , Hvetadryl, Betamox "
Kucing,Panleukopenia,2,"Betamox, Vetadryl, Hematopan, Biodin"
Kucing,Pasteurellosis,0,"Inj / Baytril, Vetadryl , Hematopan , Biodin"
Kucing,Pemeriksaan,22,"Hematodin, Vit Ade"
Kucing,Periodontitis,2,"Vit C, Ampicillin, Amoxicillin, Dexamethasone"
Kucing,Pneumonia,0,"Hematopan, Vetedryl, Biodin"
Kucing,Post partus,0,"Bethamox, Hematodin, Vetadryl"
Kucing,Pregnant,0,"Vit Ade, Vit Bcomplex, Biodin"
Kucing,Prolaps anii,8,"Metronidazole, Hematopan, Kaolin Pectin"
Kucing,Prolaps Bulbi,0,"Betamox, Vetadryl, Biodin, Hematopan, Enukleasi"
Kucing,Prolaps Testis,0,"Betamox, Vetadryl, Biodin, Hematopan, Kastrasi"
Kucing,Pullorum,0,"Inj / Hematodin, Biodin, Vetadryl, R/ Baytril, Seloxy Aa, Bio Atp, Imboost"
Kucing,Pyoderma,0,"Cephalexin, Dexamethasone, Vit.C"
Kucing,Pyometra,8," Betamox, Vetadryl, Hematopan Biodin, Operasi Angkat Pyometra"
Kucing,Radang,1,"Bethamox, Hematodin, Vetadryl, Tolfedine"
Kucing,Renal Failure,0,"Biodin, Hematodin"
Kucing,Retensio Sec,0,"Vetoxy La, Vetadryl, Sulpidone, Hematodin"
Kucing,Rhinitis,6,"Septri, Hematopan, Biodin, Vetadryl"
Kucing,Rhinotracheitis,0,"Inj/ Betamox, Tolfedine, Hematodin, Vetadryl, Injektamin"
Kucing,Seizure,0,Castran
Kucing,Sehat,279,"Vaksin, Surat Keterangan Sehat, Operasi"
Kucing,Snot,0,"Enrofloxacin, Biodin"
Kucing,Stres fisiologis,0,"Betamox, Vetadryl, Hematopan , Biodin "
Kucing,Stomatitis,6,"Betamox, Biodin"
Kucing,Scabies,61,"Ivermectin, Biosolamin,Inmunair"
Kucing,Sporotrichosis,0,"Betamox, Vetadryl "
Kucing,Sprain,0,"Vitol Ade, Vetoxy La"
Kucing,Suspek Calisivirus,44,"Bethamox, Hematodin, Vetadryl, Biodin"
Kucing,Suspek FUS,12,"Bethamox, Hematodin, Vetadryl"
Kucing,Suspek Panleucopenia,31,"Bethamox, Hematodin, Vetadryl"
Kucing,Suspek Chlamydiosis,10,"Bethamox, Hematodin, Vetadryl"
Kucing,Suspect FRV,23,"Vitamin B-Comp, Dexametazone/Spiradin, Hematodin"
Kucing,Suspect FHV,1,"Vetoxy LA, Vetadryl"
Kucing,Syaraf Tulang Belakang,3,"Bethamox, Hematodin, Dexamethasone"
Kucing,Tumor,1,"Operasi Angkat Tumor, Betamox, Vitol"
Kucing,Timpany,0,"Trocar, Antibloat"
Kucing,Uveitis,0,"Limoxin , Dexa , Hematopan Biodin"
Kucing,Vaksin Rabies,1,"Cefotaxime,Roborante,Dexamethason,Biosolamin, Enrofloxacin"
Kucing,Vulnus,71,"Cefotaxime,Roborante,Dexamethason,Biosolamin, Enrofloxacin"
Unggas,Abortus,0,"Vetoxy La, Vetadryl, Sulpidone, Hematodin"
Unggas,Abses,0,"Cefotaxime,Dexamethason,Biosolamin,Septo Skin Spray"
Unggas,Acral Lick Dermatitis,0,"Bethamox, Vitol Ade, Vetadryl"
Unggas,Aggenesis Anni,0,Op Pembuatan Anus
Unggas,Alergi,0,"Vetadryl, Vit Ade."
Unggas,Anemia,0,"Hematodin, Vetadryl"
Unggas,Arthritis,0,"Calcidex, Vit Ade, Dexamethazone, Biodin"
Unggas,Avitaminosis,0,"Inj/ Betamox, Vetadryl, Hematodin, Biodin, Curvit"
Unggas,BEF,0,"Vetoxy LA, Vetadryl, Sulpidone, Hematodin"
Unggas,Bronkitis,0,"Cefadroxil, Ambroxol, Dexamethason, Vit C"
Unggas,Calici,0,"Clavamox, Pronisi, Vi. C, Imboost"
Unggas,Check Up,0,Hematodin
Unggas,Chlamydia,0,"Dexamethason, Chloramphenicol Salep Mata"
Unggas,Chlongiohepatitis,0,"Betamox, Vetadryl, Hematopan , Biodin "
Unggas,CKD,0,"Ketosteril, Lenal Ace, Ornipural"
Unggas,Conjunctivitis,0,"Dexamethason, Chloramphenicol Salep Mata"
Unggas,Dehidrasi,0,"Hematodin, Cairan RL"
Unggas,Demam Non Spesifik,0,"Bethamox, Hematodin, Sulpidone"
Unggas,Demodecosisi,0," Ivomec, Vetadryl"
Unggas,Dermatitis,0,"Ivermectin,Lincomycin,Prednisone,Biosolamin,Inmunair"
Unggas,Dermatophytosis,0,"Sebazole, Chlorhexidine, Vetadryl"
Unggas,Diarrhea,0,"Bethamox, Vetadryl, Biodin, Hematodin"
Unggas,Dislokasi,0,"Bethamox, Hematodin, Dexamethazone"
Unggas,Distokia,0,"Ketamin, Lidocaine, Dexamethasone, Vit B1 , Caesar"
Unggas,DIPHYLIDIASIS,0,"Inj / Betamox, Vetadryl, Hematopan R/ Drontal Cat"
Unggas,Ear mites,0,"Ivermectin, Roborante, Erlamicetin Tetes Telinga"
Unggas,Ektoparasitosis,0,"Ivermectin, Roborante"
Unggas,Endoparasit,0,"Doxycycline, Clindamycin, Ivermectine, Selamectine"
Unggas,Enteritis,0,"Biosolamin,Loperamide,Flagyl,Inmunair"
Unggas,EGC,0,"Doxycycline,Dexa, Catosal"
Unggas,Endophtalmitis,0,"Inj/ Betamox, Tolfedine , Hematopan , Biodin "
Unggas,Endometritis,0,"Doxyciclin,Dexamethason, Biosolamin"
Unggas,Febris,0,"Vit. B Complek, Stimuno"
Unggas,FCV,0,"Inj / Vetadryl , Aminophyline , Vetoxy , Hematopan , Biodin R/ Infus Rl Subkutan "
Unggas,FHV / FRV,0,"Vitamin C , Vetadryl, Hematopan, Biodin"
Unggas,FIC,0,Flunixin
Unggas,FIP,0,"Doxycycline, Curcuma, B Complek"
Unggas,FLUTD,0,"Pasang Cateter,Ampicillin,Aminophyllin,Biosolamin,"
Unggas,Flu,0,"Cefotaxime,Ampicillin,Aminophyllin,Biosolamin,Fluimucil"
Unggas,Fraktur,0,"Operasi Pasang Pen, Bandage, Meloxicam"
Unggas,FUC,0,"Betamox, Tolfedin , Hematopan , Biodin"
Unggas,Gangguan Syaraf Tulang Belakang,0,"Bethamox, Vitamin B1, Dexametazone, Hematodin"
Unggas,Gastritis,0,"Primperan,Biosolamin,Prednisone,Cefotaxime"
Unggas,Gastroenteritis,0,"Primperan,Biosolamin,Flagyl,Loperamide,Mylanta"
Unggas,Ginggivitis,0,"Betamox, Vetadryl"
Unggas,Glaucoma,0,"Inj/ Hematopan, R/ Cravit Eye Drop, Hyalub Eye Drop R/Doxy, Retivit, Seloxy"
Unggas,Helminthiasis,0,"Drontal Dog, Drontal Cat, Albendazole"
Unggas,Hernia Abdominalis,0,"Rl Sc, Vetadryl, Hematodin"
Unggas,Hyphocalsemia,0,"Calcidex Plus, Vit Ade"
Unggas,Hydroderma,0,"R/ Furosemide, Heptasan, Seloxy"
Unggas,Heart Failure,0,"Inj / Betamox, Vetadryl"
Unggas,Indigesti,0,"Bethamox, Hematodin, Vetadryl"
Unggas,Inkoordinasi Syaraf,0,"Neurobion, Catosol"
Unggas,Intoksikasi ,0,"Bethamox, Hematodin, Vetadryl, Biodin"
Unggas,Ikterus,0,"Hematodin, Vetadryl, Vit B1"
Unggas,Jamur,0,"Ivermectin,Ketoconazole,Enrofloxacin"
Unggas,Kennel Cough,0,"Betamox, Vetadryl "
Unggas,Konstipasi,0," Betamox, Vetadryl , Hematopan"
Unggas,Kornea ulser,0,"Gentamicin, Tetracicline, Ofloxacin, Vit A"
Unggas,Laminitis,0,"Cefotaxime,Ampicillin,Aminophyllin,Biosolamin, Dexamethason"
Unggas,Luka Trauma,0,"Cefotaxime,Roborante,Dexamethason,Biosolamin, Enrofloxacin"
Unggas,Laringitis,0,"Cefotaxime,Ampicillin,Aminophyllin,Biosolamin, Dexamethason"
Unggas,Malnutrisi,0, Hematodin
Unggas,Mastitis,0,"Lactaclox, Spiradin"
Unggas,Myalgia,0," Betamox, Dexa, Neurobion"
Unggas,Myasis,0,"Betamox, Dexa, Ivomec"
Unggas,Mycoplasmosis,0,"Inj / Vetadryl , Aminophyline , Vetoxy , Hematopan , Biodin R/ Infus Rl Subkutan "
Unggas,Metritis,0,"Vetoxy La, Vetadryl, Hematodin, Sulpidone"
Unggas,Miositis,0,"Dexamethason, Prednisone"
Unggas,Necrotic,0,"Inj/ Cefazidime , Biodin , Dexametasone"
Unggas,Operasi Kecil,0,"Ketamine, Silazin, Bethamox, Hematodin"
Unggas,Operasi Besar,0,"Ketamine, Silazin, Bethamox, Hematodin"
Unggas,ORF,0,"Vetoxy LA, Vetadryl, Introvit B-Comp"
Unggas,Othematoma,0,"Amoxicillin, Dexamethasone, Adona, "
Unggas,Otitis,0,"Doxyciclin,Biosolamin,"
Unggas,Paraplegia,0,Nacl Fisiologis
Unggas,Parvo,0,"Infus Rl Subkutan , Inj / Catosal , Hvetadryl, Betamox "
Unggas,Panleukopenia,0,"Betamox, Vetadryl, Hematopan, Biodin"
Unggas,Pasteurellosis,1,"Inj / Baytril, Vetadryl , Hematopan , Biodin"
Unggas,Pemeriksaan,0,"Hematodin, Vit Ade"
Unggas,Periodontitis,0,"Vit C, Ampicillin, Amoxicillin, Dexamethasone"
Unggas,Pneumonia,0,"Hematopan, Vetedryl, Biodin"
Unggas,Post partus,0,"Bethamox, Hematodin, Vetadryl"
Unggas,Pregnant,0,"Vit Ade, Vit Bcomplex, Biodin"
Unggas,Prolaps anii,0,"Metronidazole, Hematopan, Kaolin Pectin"
Unggas,Prolaps Bulbi,0,"Betamox, Vetadryl, Biodin, Hematopan, Enukleasi"
Unggas,Prolaps Testis,0,"Betamox, Vetadryl, Biodin, Hematopan, Kastrasi"
Unggas,Pullorum,0,"Inj / Hematodin, Biodin, Vetadryl, R/ Baytril, Seloxy Aa, Bio Atp, Imboost"
Unggas,Pyoderma,0,"Cephalexin, Dexamethasone, Vit.C"
Unggas,Pyometra,0," Betamox, Vetadryl, Hematopan Biodin, Operasi Angkat Pyometra"
Unggas,Radang,0,"Bethamox, Hematodin, Vetadryl, Tolfedine"
Unggas,Renal Failure,0,"Biodin, Hematodin"
Unggas,Retensio Sec,0,"Vetoxy La, Vetadryl, Sulpidone, Hematodin"
Unggas,Rhinitis,0,"Septri, Hematopan, Biodin, Vetadryl"
Unggas,Rhinotracheitis,0,"Inj/ Betamox, Tolfedine, Hematodin, Vetadryl, Injektamin"
Unggas,Seizure,0,Castran
Unggas,Sehat,0,"Vaksin, Surat Keterangan Sehat, Operasi"
Unggas,Snot,0,"Enrofloxacin, Biodin"
Unggas,Stres fisiologis,0,"Betamox, Vetadryl, Hematopan , Biodin "
Unggas,Stomatitis,0,"Betamox, Biodin"
Unggas,Scabies,0,"Ivermectin, Biosolamin,Inmunair"
Unggas,Sporotrichosis,0,"Betamox, Vetadryl "
Unggas,Sprain,0,"Vitol Ade, Vetoxy La"
Unggas,Suspek Calisivirus,0,"Bethamox, Hematodin, Vetadryl, Biodin"
Unggas,Suspek FUS,0,"Bethamox, Hematodin, Vetadryl"
Unggas,Suspek Panleucopenia,0,"Bethamox, Hematodin, Vetadryl"
Unggas,Suspek Chlamydiosis,0,"Bethamox, Hematodin, Vetadryl"
Unggas,Suspect FRV,0,"Vitamin B-Comp, Dexametazone/Spiradin, Hematodin"
Unggas,Suspect FHV,0,"Vetoxy LA, Vetadryl"
Unggas,Syaraf Tulang Belakang,0,"Bethamox, Hematodin, Dexamethasone"
Unggas,Tumor,0,"Operasi Angkat Tumor, Betamox, Vitol"
Unggas,Timpany,0,"Trocar, Antibloat"
Unggas,Uveitis,0,"Limoxin , Dexa , Hematopan Biodin"
Unggas,Vaksin Rabies,0,"Cefotaxime,Roborante,Dexamethason,Biosolamin, Enrofloxacin"
Unggas,Vulnus,0,"Cefotaxime,Roborante,Dexamethason,Biosolamin, Enrofloxacin"
Kelinci,Abortus,0,"Vetoxy La, Vetadryl, Sulpidone, Hematodin"
Kelinci,Abses,0,"Cefotaxime,Dexamethason,Biosolamin,Septo Skin Spray"
Kelinci,Acral Lick Dermatitis,0,"Bethamox, Vitol Ade, Vetadryl"
Kelinci,Aggenesis Anni,0,Op Pembuatan Anus
Kelinci,Alergi,0,"Vetadryl, Vit Ade."
Kelinci,Anemia,0,"Hematodin, Vetadryl"
Kelinci,Arthritis,0,"Calcidex, Vit Ade, Dexamethazone, Biodin"
Kelinci,Avitaminosis,0,"Inj/ Betamox, Vetadryl, Hematodin, Biodin, Curvit"
Kelinci,BEF,0,"Vetoxy LA, Vetadryl, Sulpidone, Hematodin"
Kelinci,Bronkitis,0,"Cefadroxil, Ambroxol, Dexamethason, Vit C"
Kelinci,Calici,0,"Clavamox, Pronisi, Vi. C, Imboost"
Kelinci,Check Up,0,Hematodin
